0,xxxSNAMEyyy communication was sent in the month of May 2017 . -Manoj n/n,xxxSNAMEyyy communication was sent in the month of May 2017 . - Manoj,1,1
11,xxxSNAMEyyy xxxSNAMEyyy is this legit ? It says `` sent from trusted sender '' xxxURLyyy,xxxSNAMEyyy xxxSNAMEyyy is this legit ? It says `` sent from trusted sender '' xxxURLyyy,1,1
12,"xxxSNAMEyyy We are following up with the team concerned for a suitable resolution . However , you may also take up with ( 1/2","xxxSNAMEyyy We are following up with the team concerned for a suitable resolution . However , you may also take up with",1,1
13,xxxSNAMEyyy 95705039099 sir this number is calling from SBI asking my personal details . asking for Aadhar numb xxxURLyyy,xxxSNAMEyyy 95705039099 sir this number is calling from SBI asking my personal details . asking for Aadhar number xxxURLyyy,1,1
14,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy how much time can I expect to resolve my issue . 9953555068 is my re xxxURLyyy,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy how much time can I expect to resolve my issue . 9953555068 is my xxxURLyyy,1,1
15,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy I need your help . Bank is not ready to help . Just threatens me .,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy I need your help . Bank is not ready to help . Just threatens me .,0,1
16,"xxxSNAMEyyy Hi , please visit the link xxxURLyyy for more details .","xxxSNAMEyyy Hi , please visit the link xxxURLyyy for more details .",1,1
17,xxxSNAMEyyy Thanks . Thats the site for actual redemption of rewards . I have a question I need answered before I can redeem .,xxxSNAMEyyy Thanks . Thats the site for actual redemption of rewards . I have a question I need answered before I can redeem .,2,1
18,xxxSNAMEyyy Thanks for writing in !,xxxSNAMEyyy Thanks for writing in !,2,1
19,xxxSNAMEyyy may have received for us to look into the matter . -Manoj n/n,xxxSNAMEyyy may have received for us to look into the matter . -Manoj,1,1
20,"xxxSNAMEyyy Hi , this is never the experience we want our customers to have . ^mm","xxxSNAMEyyy Hi , this is never the experience we want our customers to have .",2,1
21,"xxxSNAMEyyy Hi , you can call the # on the back of your debit card to request a new PIN . ^am","xxxSNAMEyyy Hi , you can call the # on the back of your debit card to request a new PIN .",1,1
22,( 2/4 ) xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy May I knw d reason of being so uncourteous of without infmng and deducting the amt ?,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy May I know the reason of being so uncourteous of without informing and deducting the amount ?,0,1
23,"xxxSNAMEyyy Hi , We 'd like to learn more about the experience . Please DM your contact information and our team will reach out .","xxxSNAMEyyy Hi , We would like to learn more about the experience . Please Direct Message your contact information and our team will reach out .",1,1
24,"xxxSNAMEyyy Dear Sanjay Mungi , w.e.f . 11.10.2017 , the MAB ( except for exempted accounts ) for savings bank ( 1/5","xxxSNAMEyyy Dear Sanjay Mungi , with effect from 11.10.2017 , the MAB ( except for exempted accounts ) for savings bank",1,1
25,"xxxSNAMEyyy Hi , could you please elaborate more on this for us to assist you accordingly .","xxxSNAMEyyy Hi , could you please elaborate more on this for us to assist you accordingly .",1,1
26,xxxSNAMEyyy The answer is B,xxxSNAMEyyy The answer is B,1,1
27,xxxSNAMEyyy For any further assistance please feel free to email us at supportxxxSNAMEyyy.in or call us at 1800 102 9426 ( Toll Free ) - Anay 2/2,xxxSNAMEyyy For any further assistance please feel free to email us at support xxxSNAMEyyy . in or call us at 1800-102-9426 ( Toll Free ) -Anay,1,1
28,xxxSNAMEyyy URGENT . Need your help . Did a transfer through upi on friday . Money has not been transferred . Immediate call required,xxxSNAMEyyy URGENT . Need your help . Did a transfer through upi on friday . Money has not been transferred . Immediate call required,1,1
29,xxxSNAMEyyy Why would u even have a twitter help account ? Who does that help,xxxSNAMEyyy Why would you even have a twitter help account ? Who does that help,0,1
30,"xxxSNAMEyyy facing , your a/c no . and contact no . Mention [ TW-2596435 ] in the subject line to enable us to look into it . ( 2/2","xxxSNAMEyyy facing , your account number and contact number Mention [ ref ] in the subject line to enable us to look into it .",1,1
31,xxxSNAMEyyy Thanks . Waiting ...,xxxSNAMEyyy Thanks . Waiting .,2,1
32,"xxxSNAMEyyy Hwllo sir/madam , i want to know how much to take SBI master card yearly as Tax..","xxxSNAMEyyy Hello sir / madam , i want to know how much to take SBI master card yearly as Tax .",1,1
33,xxxSNAMEyyy beneficiary 's bank returned the funds after a stipulated time . Post that we credited back the funds to your account on 10 ( 2/3,xxxSNAMEyyy beneficiary ' s bank returned the funds after a stipulated time . Post that we credited back the funds to your account on 10,1,1
34,xxxSNAMEyyy visit : xxxURLyyy to know how to update Aadhar card online . Thanks for writing in . ( 2/2,xxxSNAMEyyy visit : xxxURLyyy to know how to update Aadhar card online . Thanks for writing in . ,2,1
35,xxxSNAMEyyy But also reduce commission or spread above MCLR . Let it be MCLR+0.55 % on existing home loans . Also xxxURLyyy,xxxSNAMEyyy But also reduce commission or spread above MCLR . Let it be MCLR + 0.55 % on existing home loans . Also xxxURLyyy,1,1
36,"xxxSNAMEyyy Hi , please DM us your contact details and our official will contact you .","xxxSNAMEyyy Hi , please Direct Message us your contact details and our official will contact you .",1,1
37,"xxxSNAMEyyy Hi Aejaz , I 'll do my best to help you . Please write to talktousxxxSNAMEyyy.com with your complete concern , Account No . ( 1/3","xxxSNAMEyyy Hi Aejaz , I will do my best to help you . Please write to talk to us xxxSNAMEyyy . com with your complete concern , Account Number .",2,1
38,Still facing the problem and all the support numbers are busy of xxxSNAMEyyy I wonder what will happen if ther xxxURLyyy,Still facing the problem and all the support numbers are busy of xxxSNAMEyyy I wonder what will happen if their xxxURLyyy,0,1
39,xxxSNAMEyyy We 'd like to call you directly to help . Please DM us with your contact info and best time to call . ^mj xxxURLyyy,xxxSNAMEyyy We would like to call you directly to help . Please Direct Message us with your contact info and best time to call . xxxURLyyy,1,1
40,xxxSNAMEyyy Thank you for taking the time to talk with me today . We appreciate the opportunity to help . ^ak,xxxSNAMEyyy Thank you for taking the time to talk with me today . We appreciate the opportunity to help .,2,1
41,"xxxSNAMEyyy xxxSNAMEyyy sir , again we will inform to our officers thank you","xxxSNAMEyyy xxxSNAMEyyy sir , again we will inform to our officers thank you",2,1
42,xxxSNAMEyyy I have raised a ticket number 3356476914 on CMS about this issue .,xxxSNAMEyyy I have raised a ticket number 3356476914 on CMS about this issue .,1,1
43,xxxSNAMEyyy track your e-mail.-Natasha ( 3/3,xxxSNAMEyyy track your e-mail . -Natasha ,1,1
44,2/2 Today they said no locker is available xxxSNAMEyyy plz help,Today they said no locker is available xxxSNAMEyyy please help,1,1
45,xxxSNAMEyyy We appreciate your patience . ( 2/2,xxxSNAMEyyy We appreciate your patience .,2,1
46,"xxxSNAMEyyy Hi there , If you could DM us we would be happy to take a look into what 's delaying your transaction . ^ZT","xxxSNAMEyyy Hi there , If you could Direct Message us we would be happy to take a look into what is delaying your transaction .",2,1
47,"cald xxxSNAMEyyy to lodge complaint , says wl take it as a feedback I insist to lodge it n he tries to sell a loan product wtf guys","called xxxSNAMEyyy to lodge complaint , says will take it as a feedback I insist to lodge it and he tries to sell a loan product what the fuck guys",0,1
48,xxxSNAMEyyy details . Mention this Ref No . TW1410171017 in the subject of your mail so it 'll help us track your e-mail . -Anay ( 2/2,xxxSNAMEyyy details . Mention this Reference Number ref in the subject of your mail so it will help us track your e-mail . -Anay,1,1
49,xxxSNAMEyyy Are u aware of service u r providing,xxxSNAMEyyy Are you aware of service you are providing,0,1
50,xxxSNAMEyyy Thank you for the reply . Let us know if you need any help in the future . ^am,xxxSNAMEyyy Thank you for the reply . Let us know if you need any help in the future .,2,1
51,xxxSNAMEyyy Since then i have been regularly following on ur Toll free Number and have been in touch with Ms.Jyotsna .,xxxSNAMEyyy Since then i have been regularly following on your Toll free Number and have been in touch with MS Jyotsna .,1,1
52,"xxxSNAMEyyy Dear Sajid , how may we help you ?","xxxSNAMEyyy Dear Sajid , how may we help you ?",2,1
53,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy Please advise if it 's a standard process to close the account and ... 1/2,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy Please advise if it is a standard process to close the account and .,1,1
54,xxxSNAMEyyy e-mail id from which you have sent the mail along with your registered mobile to enable us to do the needful . -Anay n/n,xxxSNAMEyyy e-mail id from which you have sent the mail along with your registered mobile to enable us to do the needful . -Anay,1,1
55,xxxSNAMEyyy xxxSNAMEyyy Card swipe k time pe error hui thi to amount cut ho gaya tha refund nahi kar rhe ye log,,1,-1
56,xxxSNAMEyyy I have n't received the tag . Neither did I get SMS or mail for online access to the fastag account . xxxURLyyy,xxxSNAMEyyy I have not received the tag . Neither did I get SMS or mail for online access to the fastag account . xxxURLyyy,1,1
57,xxxSNAMEyyy Please share the ticket reference number of the said complaint . We will look into it .,xxxSNAMEyyy Please share the ticket reference number of the said complaint . We will look into it .,1,1
58,xxxSNAMEyyy Great ! Please check your DMs for an update . ^AP,xxxSNAMEyyy Great ! Please check your Direct Messages for an update .,2,1
59,xxxSNAMEyyy Pls share the terms and conditions where it is written that on partial refund cash back gets cancelled,xxxSNAMEyyy Please share the terms and conditions where it is written that on partial refund cash back gets cancelled,1,1
60,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy plz sir help . I want my money back . Bhim app debited my money and did not credit it 2 2nd acnt,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy please sir help . I want my money back . Bhim app debited my money and did not credit it 2 2nd account,1,1
61,xxxSNAMEyyy Noted ! I will share the feedback with our team . Do let us know if we can help you in any other way . -Anay,xxxSNAMEyyy Noted ! I will share the feedback with our team . Do let us know if we can help you in any other way . -Anay,2,1
62,xxxSNAMEyyy Some days back i called sbi toll free number for home loan but they told me wait some hours our ser xxxURLyyy,xxxSNAMEyyy Some days back i called sbi toll free number for home loan but they told me wait some hours our xxxURLyyy,1,1
63,"xxxSNAMEyyy how come my personal details got leaked their is the second time I receving a call in week gap , how securey information","xxxSNAMEyyy how come my personal details got leaked their is the second time I receiving a call in week gap , how security information",0,1
64,xxxSNAMEyyy xxxSNAMEyyy Booking Transaction ID : GOFLDMOB418CA6084748 xxxURLyyy,xxxSNAMEyyy xxxSNAMEyyy Booking Transaction ID : ref xxxURLyyy,1,1
65,xxxSNAMEyyy xxxSNAMEyyy While trying to load currency in your wallet there is no option of loading from SBI,xxxSNAMEyyy xxxSNAMEyyy While trying to load currency in your wallet there is no option of loading from SBI,1,1
66,xxxSNAMEyyy Lets see i also called the toll free no they say they ca n't do anything ... .,xxxSNAMEyyy Lets see i also called the toll free no they say they can not do anything .,0,1
67,xxxSNAMEyyy I am sorry for this trouble with your payments . Please send me a DM and I will be happy to help you further . Thank you ! ^GA,xxxSNAMEyyy I am sorry for this trouble with your payments . Please send me a Direct Message and I will be happy to help you further . Thank you !,2,1
68,xxxSNAMEyyy 2/2we would have hoped for you . You can contact PayPal here on twitter using xxxSNAMEyyy to see if they can advise ? ^SB,xxxSNAMEyyy we would have hoped for you . You can contact PayPal here on twitter using xxxSNAMEyyy to see if they can advise ?,2,1
69,"xxxSNAMEyyy Hi , we 've checked our systems amp ; NetBanking is fully functional . You may have faced a temporary glitch ( 1/2","xxxSNAMEyyy Hi , we have checked our systems amp ; NetBanking is fully functional . You may have faced a temporary glitch",1,1
70,"xxxSNAMEyyy Hi , we are here to assist you . Please elaborate your query for us to understand it better .","xxxSNAMEyyy Hi , we are here to assist you . Please elaborate your query for us to understand it better .",1,1
71,xxxSNAMEyyy What is the update on this ? This never got resolved ! I am still waiting for my money,xxxSNAMEyyy What is the update on this ? This never got resolved ! I am still waiting for my money,0,1
72,xxxSNAMEyyy Sent .,xxxSNAMEyyy Sent .,1,1
73,xxxSNAMEyyy I am new business loan,xxxSNAMEyyy I am new business loan,1,1
74,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy what the fck is this ? And who d fck is u ? ? xxxURLyyy,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy what the fuck is this ? And who the fuck is you ? xxxURLyyy,0,1
75,I ca n't delete an old phone number xxxSNAMEyyy which is a problem as its the mobile of an ex-employee . Please help .,I can not delete an old phone number xxxSNAMEyyy which is a problem as its the mobile of an ex-employee . Please help .,1,1
76,xxxSNAMEyyy Green remit card is the green initiative of the bank for convenient paperless banking . It is not compulsory ( 1/2,xxxSNAMEyyy Green remit card is the green initiative of the bank for convenient paperless banking . It is not compulsory,2,1
77,"xxxSNAMEyyy Hello ! Please can you help , Im not getting any response by tweet or DM","xxxSNAMEyyy Hello ! Please can you help , I am not getting any response by tweet or Direct Message",0,1
78,xxxSNAMEyyy calls/emails . Any such attempt may be reported to epg.cmsxxxSNAMEyyy.co.in and to the law enforcement agencies operating in ( 3/4,xxxSNAMEyyy calls / emails . Any such attempt may be reported to sxxxSNAMEyyy and to the law enforcement agencies operating in ,1,1
79,xxxSNAMEyyy You can send us a message by clicking the link below . ^ra xxxURLyyy,xxxSNAMEyyy You can send us a message by clicking the link below . xxxURLyyy,1,1
80,"xxxSNAMEyyy Hello , we 're here to help . Please let us know if there 's something we can help on your account . ^mm xxxURLyyy","xxxSNAMEyyy Hello , we are here to help . Please let us know if there is something we can help on your account . xxxURLyyy",2,1
81,xxxSNAMEyyy plz fix my My payments,xxxSNAMEyyy please fix my My payments,1,1
82,xxxSNAMEyyy xxxSNAMEyyy please behave rationally . Do n't cheat your customers,xxxSNAMEyyy xxxSNAMEyyy please behave rationally . Do not cheat your customers,0,1
83,xxxSNAMEyyy of your complaint on xxxURLyyy . ( 2/2,xxxSNAMEyyy of your complaint on xxxURLyyy . ,1,1
84,"xxxSNAMEyyy xxxSNAMEyyy Hi Sudhansu , We are yet to hear from your end , kindly share your experience using the below xxxURLyyy","xxxSNAMEyyy xxxSNAMEyyy Hi Sudhansu , We are yet to hear from your end , kindly share your experience using the below xxxURLyyy",1,1
85,"xxxSNAMEyyy Dear Raghunath Singh , always happy to be of service .","xxxSNAMEyyy Dear Raghunath Singh , always happy to be of service .",2,1
86,xxxSNAMEyyy Still no action complain against service reqst no :34612114.No rply of my previous mail,xxxSNAMEyyy Still no action complain against service request number : 34612114 . No reply of my previous mail,1,1
87,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy Stop bombarding me with mails asking me to link my AADHAR to my account . It is n't mandatory .,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy Stop bombarding me with mails asking me to link my AADHAR to my account . It is not mandatory .,0,1
88,xxxSNAMEyyy Plz sent contract no of branch head or rm,xxxSNAMEyyy Please sent contract number of branch head or rm,1,1
89,xxxSNAMEyyy xxxSNAMEyyy The reference number for this interaction is 17287847940 . -Manoj n/n,xxxSNAMEyyy xxxSNAMEyyy The reference number for this interaction is ref . -Manoj ,1,1
90,xxxSNAMEyyy xxxSNAMEyyy THREE DISPUTED TRANSACTIONS yet this is on the resolution centre ! I mean . WTF ? Resolution CentreHelp Open cases 0,xxxSNAMEyyy xxxSNAMEyyy THREE DISPUTED TRANSACTIONS yet this is on the resolution centre ! I mean . What The Fuck  ? Resolution Centre Help Open cases 0,0,1
91,xxxSNAMEyyy available timing at your residence to initiate further verification regarding your 2/n,xxxSNAMEyyy available timing at your residence to initiate further verification regarding your,1,1
92,xxxSNAMEyyy will look into the matter . ( 2/2,xxxSNAMEyyy will look into the matter .,2,1
93,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy It 's the same for all banks I suppose,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy It is the same for all banks I suppose,1,1
94,xxxSNAMEyyy xxxSNAMEyyy I Rahul sharma having account 916010078047328 in you bank . Please let me status of the complaint no . 1709048495 .,xxxSNAMEyyy xxxSNAMEyyy I Rahul sharma having account ref in you bank . Please let me status of the complaint number ref .,1,1
95,Can someone from xxxSNAMEyyy please see my DM . My account has been hacked . Email changed amp ; someone has access to my bank account . xxxSNAMEyyy,Can someone from xxxSNAMEyyy please see my Direct Message . My account has been hacked . Email changed and someone has access to my bank account . xxxSNAMEyyy,1,1
96,"xxxSNAMEyyy Hi , Let us look in to it for you . Please share your Account No./ with registered contact info amp ; the ( 1/3","xxxSNAMEyyy Hi , Let us look in to it for you . Please share your Account Number with registered contact info and the",1,1
97,xxxSNAMEyyy xxxSNAMEyyy Good,xxxSNAMEyyy xxxSNAMEyyy Good,2,1
98,xxxSNAMEyyy Your complaint has been taken up with the respective department for redressal . You may check the ( 1/2,xxxSNAMEyyy Your complaint has been taken up with the respective department for readdressal . You may check the ,2,1
99,"xxxSNAMEyyy from independent sources are submitted to the Bank at prescribed intervals for scrubbing before being put into use , and ( 3/8","xxxSNAMEyyy from independent sources are submitted to the Bank at prescribed intervals for scrubbing before being put into use , and ",1,1
100,received a cringe inducing audio visual statement of accounts from xxxSNAMEyyy which announced to anyone around xxxURLyyy,received a cringe inducing audio visual statement of accounts from xxxSNAMEyyy which announced to anyone around xxxURLyyy,0,1
101,xxxSNAMEyyy Do I need ABA and swift for international transfers or acct number and wire transfer routing number sufficient ?,xxxSNAMEyyy Do I need ABA and swift for international transfers or acct number and wire transfer routing number sufficient ?,1,1
102,On holiday amp ; xxxSNAMEyyy xxxSNAMEyyy still find a way to mess me about,On holiday and xxxSNAMEyyy xxxSNAMEyyy still find a way to mess me about,0,1
103,xxxSNAMEyyy Fuck you ! Jump up my ass you thieves !,xxxSNAMEyyy Fuck you ! Jump up my ass you thieves !,0,1
104,xxxSNAMEyyy someone is using my email for their account and i get notified instead of them how can i reach them ?,xxxSNAMEyyy someone is using my email for their account and i get notified instead of them how can i reach them ?,1,1
105,xxxSNAMEyyy I called and left a message for you . What 's the best time to reach you ? ^kc,xxxSNAMEyyy I called and left a message for you . What is the best time to reach you ? ,1,1
106,xxxSNAMEyyy Please use link below to send your full name/ZIP/phone/account type and well follow up with you . ^mm xxxURLyyy,xxxSNAMEyyy Please use link below to send your full name / ZIP / phone / account type and well follow up with you . xxxURLyyy,1,1
107,xxxSNAMEyyy already tried updating thru contact center option but it 's asking me to enter ATM card detail which i do n't have .,xxxSNAMEyyy already tried updating through contact centre option but it is asking me to enter ATM card detail which i do not have .,1,1
108,xxxSNAMEyyy Hi we are traveling to Cambodia and Laos and wanted to enable international withdrawal on my wife 's card . Can you help ?,xxxSNAMEyyy Hi we are travelling to Cambodia and Laos and wanted to enable international withdrawal on my wife ' s card . Can you help ?,1,1
109,"xxxSNAMEyyy Hi Indrajeet , We 're sorry to hear that . Please share your Card No . with registered contact info amp ; 1/n","xxxSNAMEyyy Hi Indrajeet , We are sorry to hear that . Please share your Card Number with registered contact info and",1,1
110,xxxSNAMEyyy Didnt work correctly,xxxSNAMEyyy Did not work correctly,0,1
111,xxxSNAMEyyy access the mobile app . Sorry for the trouble . ( 2/2,xxxSNAMEyyy access the mobile app . Sorry for the trouble . ,2,1
112,xxxSNAMEyyy xxxSNAMEyyy This is the time is taken by your senior executive to answer a query.. xxxHASHTAGyyy xxxURLyyy,xxxSNAMEyyy xxxSNAMEyyy This is the time is taken by your senior executive to answer a query . xxxHASHTAGyyy xxxURLyyy,1,1
113,xxxSNAMEyyy amp ; registered contact details . Mention this Ref No . TW1210170892 in the subject of your mail so it 'll help us track your ( 2/3,xxxSNAMEyyy and registered contact details . Mention this Reference Number ref in the subject of your mail so it will help us track your ,1,1
114,"xxxSNAMEyyy xxxSNAMEyyy Cme to India 4 same , visited branch bt no big difference.a/c nt yet active.agreed 2 clos xxxURLyyy","xxxSNAMEyyy xxxSNAMEyyy Come to India for same , visited branch but no big difference account not yet active . agreed 2 close xxxURLyyy",1,1
115,"xxxSNAMEyyy Please DM us your a/c no. , contact no. , and email ID . We will be happy to assist you .","xxxSNAMEyyy Please Direct Message us your account number , contact number , and email ID . We will be happy to assist you .",2,1
116,xxxSNAMEyyy Why should I believe you ? Your customer service in the past has made it perfectly clear they want nothin xxxURLyyy,xxxSNAMEyyy Why should I believe you ? Your customer service in the past has made it perfectly clear they want nothing xxxURLyyy,0,1
117,"xxxSNAMEyyy Hey there , we responded to your message . Please check your DM 's ! xxxEMOyyy ^GAA","xxxSNAMEyyy Hey there , we responded to your message . Please check your Direct Messages ! xxxEMOyyy",2,1
118,xxxSNAMEyyy Thanks for your e-mail . We have taken up the matter with the concerned team for resolution of the issue .,xxxSNAMEyyy Thanks for your e-mail . We have taken up the matter with the concerned team for resolution of the issue .,2,1
119,xxxSNAMEyyy Hey ! That email does not appear to be from us and I recommend that you forward that email to spoofxxxSNAMEyyy.com Thanks ! ^AMC,xxxSNAMEyyy Hey ! That email does not appear to be from us and I recommend that you forward that email to xxxSNAMEyyy Thanks ! ,2,1
120,"xxxSNAMEyyy Hi , thank you for sharing your contact number . Our official will get in touch with you .","xxxSNAMEyyy Hi , thank you for sharing your contact number . Our official will get in touch with you .",2,1
121,"xxxSNAMEyyy Hi , we regret our inability in sharing the reference number . ( 1/2","xxxSNAMEyyy Hi , we regret our inability in sharing the reference number . ",2,1
122,xxxSNAMEyyy Can I have a reply please ?,xxxSNAMEyyy Can I have a reply please ?,1,1
123,xxxSNAMEyyy Option B,xxxSNAMEyyy Option B,1,1
124,"xxxSNAMEyyy Hello abdullah , thank you for contacting PayPal customer support . On Twitter the only languages that are xxxURLyyy","xxxSNAMEyyy Hello abdullah , thank you for contacting PayPal customer support . On Twitter the only languages that are xxxURLyyy",2,1
125,xxxSNAMEyyy It takes forever to close an account . Can not be more painful . Getting bounced from one customer care to another,xxxSNAMEyyy It takes forever to close an account . Can not be more painful . Getting bounced from one customer care to another,0,1
126,"xxxSNAMEyyy This is what it shows when I try to register for netbanking . Contact cc , they gave me reference num xxxURLyyy","xxxSNAMEyyy This is what it shows when I try to register for netbanking . Contact cc , they gave me reference number xxxURLyyy",1,1
127,xxxSNAMEyyy First they attract you and then they put of charge over it,xxxSNAMEyyy First they attract you and then they put of charge over it,0,1
128,"xxxSNAMEyyy Pathetic customer service Appointment scheduled , no 1 came nor is anyone answering Jabalpur branch ICICI Call me 7828869840","xxxSNAMEyyy Pathetic customer service Appointment scheduled , number 1 came nor is anyone answering Jabalpur branch ICICI Call me 7828869840",0,1
129,xxxSNAMEyyy for conversion of Savings bank a/c to BSBD a/c . Please visit xxxURLyyy to know more.Visit ( 2/6,xxxSNAMEyyy for conversion of Savings bank account to BSBD account . Please visit xxxURLyyy to know more .Visit ,1,1
130,xxxSNAMEyyy Pay your friends back the money you borrowed or help them complete some household work instead of giving xxxURLyyy,xxxSNAMEyyy Pay your friends back the money you borrowed or help them complete some household work instead of giving xxxURLyyy,1,1
131,xxxSNAMEyyy you are most welcome . Stay connected with us .,xxxSNAMEyyy you are most welcome . Stay connected with us .,2,1
132,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy SBI is making fraud and not providing benefits to common man for first xxxURLyyy,xxxSNAMEyyy xxxSNAMEyyy xxxSNAMEyyy SBI is making fraud and not providing benefits to common man for first xxxURLyyy,0,1
133,Fuck xxxSNAMEyyy xxxSNAMEyyy xxxURLyyy,Fuck xxxSNAMEyyy xxxSNAMEyyy xxxURLyyy,0,1
134,"xxxSNAMEyyy Dear Suryaprakash Bamne , how may we help you ?","xxxSNAMEyyy Dear Suryaprakash Bamne , how may we help you ?",1,1
135,xxxSNAMEyyy Nope 2 days calling 7x placed on hold and my debit card still doesnt work,xxxSNAMEyyy Nope 2 days calling 7 x placed on hold and my debit card still does not work,1,1
136,"xxxSNAMEyyy Hi ! Help ! My card was held by an ATM in Lima , Per , what can I do ? I do n't have how to pay for my second night , food , taxis , etc .","xxxSNAMEyyy Hi ! Help ! My card was held by an ATM in Lima , Per , what can I do ? I do not have how to pay for my second night , food , taxis , etc .",1,1
137,xxxSNAMEyyy xxxSNAMEyyy ur courier partner knows about ur policy more than ur own executives ... It 's a shame ! !,xxxSNAMEyyy xxxSNAMEyyy your courier partner knows about your policy more than your own executives . It is a shame ! !,0,1
138,xxxSNAMEyyy Ref No . TW1410171068 in the subject of your mail so it 'll help us track your e-mail . -Anay ( 3/3,xxxSNAMEyyy Reference Number ref in the subject of your mail so it will help us track your e-mail . -Anay,1,1
139,"xxxSNAMEyyy Hi Raj , we 'll just need a few details to help you . You can safely share them over email to ( 1/3","xxxSNAMEyyy Hi Raj , we will just need a few details to help you . You can safely share them over email to ",1,1
140,xxxSNAMEyyy id 2597601 in the subject line . We will look into the matter . ( 3/3,xxxSNAMEyyy id ref in the subject line . We will look into the matter . ,1,1
141,xxxSNAMEyyy assist xxxURLyyy ( 3/3 ) JC,xxxSNAMEyyy assist xxxURLyyy JC,1,1
142,xxxSNAMEyyy Visit xxxURLyyy for details . ( 3/3,xxxSNAMEyyy Visit xxxURLyyy for details . ,1,1
143,"xxxSNAMEyyy SBI can , t do anything . That is not one case many other people suffer also that problem . xxxSNAMEyyy xxxURLyyy",xxxSNAMEyyy SBI can not do anything . That is not one case many other people suffer also that problem . xxxSNAMEyyy xxxURLyyy,1,1
144,xxxSNAMEyyy been waiting to hear back for a few days please check your messages xxxHASHTAGyyy,xxxSNAMEyyy been waiting to hear back for a few days please check your messages xxxHASHTAGyyy,1,1
145,"xxxSNAMEyyy Hi , Request you to write at talktousxxxSNAMEyyy.com along with your complete issue , card details and registered ( 1/3","xxxSNAMEyyy Hi , Request you to write at talk to us xxxSNAMEyyy com along with your complete issue , card details and registered ",1,1
146,xxxSNAMEyyy Did you get My info ? ?,xxxSNAMEyyy Did you get My information ?,1,1
